               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0
                   2                 2832         1.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  149                    0                 -149                    0
                   3                 9833         2.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  283                    0                 -283                    0
                   4                18713         3.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  374                    0                 -374                    0
                   5                28377         4.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  462                    0                 -462                    0
                   6                38201         5.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  529                    0                 -529                    0
                   7                48038         6.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  597                    0                 -597                    0
                   8                57337         7.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  645                    0                 -645                    0
                   9                66175         8.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  692                    0                 -692                    0
                  10                74380         9.0000000000000000E+00         9.0000000000000000E+02         0.0000000000000000E+00                   0                  736                    0                 -736                    0
                  11                81822         1.0000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  770                    0                 -770                    0
                  12                88538         1.1000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  798                    0                 -798                    0
                  13                94597         1.2000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  822                    0                 -822                    0
                  14               100266         1.3000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  843                    0                 -843                    0
                  15               105254         1.4000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  867                    0                 -867                    0
                  16               109700         1.5000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  886                    0                 -886                    0
                  17               113353         1.6000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  904                    0                 -904                    0
                  18               116639         1.7000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  917                    0                 -917                    0
                  19               119496         1.8000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  926                    0                 -926                    0
                  20               121968         1.9000000000000000E+01         9.0000000000000000E+02         0.0000000000000000E+00                   0                  935                    0                 -935                    0
